FLEET (inspect & fan-out)	Hotfix launcher (repo synch & flush)	# v1.37 (2026-08-22) — promoted from a notepad paste the operator ran # through option 14 nearly every session. A command typed by hand daily is # a command that will eventually be typed WRONG on the day it matters, and # this one stops trading services on 15 live boxes. # # ⚠️ `git checkout -- config.py` IS NOT OPTIONAL. Boxes carry a sed-dirty # config.py whenever LOG_LEVEL has been flipped to DEBUG, and `git pull` # REFUSES to overwrite a dirty file — the pull fails, the services restart # on the OLD code, and every surface reports success. That is exactly how # r59 sat on control all Friday while the boxes ran the bug it fixed. # Restoring config.py first also returns LOG_LEVEL to INFO. # # ⚠️ FEED FIRST, THEN A 5s GAP, THEN THE BOT. The bot's first tick reads # the store; starting it against a feed that has not connected gives it an # empty frame at the worst possible moment. echo echo " Hotfix launcher — stop services, restore config.py, pull, purge" echo " __pycache__, restart feed-then-bot, and report both states." echo " Runs on RUNNING boxes only." read -rp " Symbols (ENTER = ALL, or comma-sep e.g. NVDA,SPX): " hf_scope local hf_cmd='sudo systemctl stop optionsbot candle-feed; cd ~/options-trader && git checkout -- config.py && git pull --ff-only; find ~/options-trader -name __pycache__ -type d -exec rm -rf {} + 2>/dev/null; sudo systemctl start candle-feed && sleep 5 && sudo systemctl start optionsbot && systemctl is-active candle-feed optionsbot' if [ -n "$hf_scope" ]; then $PY fleet.py run "$hf_cmd" --only "$hf_scope" else $PY fleet.py run "$hf_cmd" fi
SENSORS (derived stores; read-only, one/all/some)	Manifold health board	echo " Per-stream bulbs from tools/manifold_health.py." echo " GREEN fresh · AMBER stale · RED missing · WHITE idle (outside RTH)" SC=$(ask_scope) # 🔴 `|| true` IS LOad-BEARING. manifold_health exits 1 whenever the board # is not GREEN — which is its JOB — and the fleet runner treats non-zero as # a failed box and DISCARDS STDOUT. Measured 2026-08-24 07:35: all 15 boxes # printed `rc=1` with NO OUTPUT, and the board they had computed was thrown # away. The tool was working perfectly; the menu was eating the answer. # ⚠️ THIS IS THE 2026-07-29 RULE IN A NEW PLACE: a fleet command must exit 0 # REGARDLESS OF FINDINGS, or a legitimate red result is indistinguishable # from a crash. A health board is the worst possible place for that, because # "not green" is the exact case it exists to report. # ⚠️ AND `2>&1` — without it a traceback vanishes and rc=1 says nothing about # why. venv python for the same reason as everywhere else: bare python3 # resolves outside the repo venv. $PY fleet.py run "cd $INSTALL_DIR && venv/bin/python tools/manifold_health.py 2>&1 || true" $SC
SENSORS (derived stores; read-only, one/all/some)	Strategy notes        (what each engine SAW - signals, not trades)	echo " Source: derived_store.db -> strategy_note" echo " One row per strategy EVALUATION." echo " ⚠️ signalled = the strategy RETURNED A SIGNAL on that tick." echo " It is NOT a trade: dispatch, the pairing gate, the position" echo " check and the entry gate all sit downstream. And a persisted" echo " setup re-signals every tick, so one event counts many times." echo " For trades taken, read trades.db - not this table." read -rp " Date (YYYY-MM-DD, blank = today): " d [ -z "$d" ] && d=$(TZ=America/New_York date +%F) _et_bounds "$d" || { pause; return 0; } SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 data/derived_store.db "SELECT strategy, SUM(fired) AS signalled, COUNT(*)-SUM(fired) AS quiet, COUNT(*) AS looks FROM strategy_note WHERE ts_epoch >= $ET_FROM AND ts_epoch < $ET_TO GROUP BY strategy ORDER BY looks DESC; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	PLAN BOARD            (every plan, every check, per tick)	echo " Source: derived_store.db -> plan_tick + plan_check" echo " Every plan, every cycle: verdict, R, and each variable it checked." echo " ⚠️ A plan is not a trade. TAKE means the plan qualified, not that" echo " anything was bought — the engine is OBSERVE-ONLY." read -rp " Date (YYYY-MM-DD, blank = today): " d [ -z "$d" ] && d=$(TZ=America/New_York date +%F) _et_bounds "$d" || { pause; return 0; } SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 -header -column data/derived_store.db "SELECT strategy, verdict, COUNT(*) n, ROUND(MIN(r_now),2) r_lo, ROUND(MAX(r_now),2) r_hi, ROUND(AVG(underlying),2) px FROM plan_tick WHERE ts_epoch >= $ET_FROM AND ts_epoch < $ET_TO GROUP BY strategy, verdict ORDER BY strategy, verdict; " 2>&1; echo; echo 'WHICH CHECK FAILED, AND HOW OFTEN:'; sqlite3 -header -column data/derived_store.db "SELECT strategy, check_name, verdict, COUNT(*) n, ROUND(MIN(value),2) lo, ROUND(MAX(value),2) hi FROM plan_check WHERE ts_epoch >= $ET_FROM AND ts_epoch < $ET_TO GROUP BY strategy, check_name, verdict ORDER BY strategy, check_name, verdict; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	DECISIONS NOW         (enter on / exit on, live snapshot)	echo " Source: on-box query.py --decisions (plan_tick incl. /manage rows)" echo " What every plan would do on the NEXT tick, as of the last one." echo " ⚠️ A plan is not a trade: HOLD 'PREPARED' means armed, not filled." SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; python query.py --decisions 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	Plan ledger           (intent + terminal reason)	echo " Source: derived_store.db -> plan_ledger" echo " Plans are INTENT. A plan can produce no trade at all, or two." echo " WIPED_BY_RESTART is its own category - the cost of deploying" echo " mid-session, which cost four boxes their setups on 2026-08-21." read -rp " Date (YYYY-MM-DD, blank = today): " d [ -z "$d" ] && d=$(TZ=America/New_York date +%F) _et_bounds "$d" || { pause; return 0; } SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 -header -column data/derived_store.db "SELECT strategy, state, COALESCE(terminal_reason,'(live)') AS reason, COUNT(*) AS n FROM plan_ledger WHERE created_ts >= $ET_FROM AND created_ts < $ET_TO GROUP BY strategy, state, reason ORDER BY n DESC; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	PLAN GATES            (every rung, PASS and FAIL, from S3)	# 🔴 dtp-r270 — THE HALF `gate_disposition` CANNOT SHOW. That table records # only the rung that REFUSED, so the fit report's "where the refusals land" # is a ranking AMONG refusals and not a failure RATE. On 2026-09-03 # `geometry` was 41% of the sweep's refusals AND passed 761/761 on QQQ. # `plan_check` carries both arms and r126b already pushes it to S3, so this # runs with the FLEET DOWN. echo echo " Plan gates — every rung, PASS and FAIL, per strategy." echo " Reads the S3 warehouse; boxes stay off." echo " ⚠️ A rung at 100% FAIL is a BLOCKER. A rung that never fails is" echo " not evidence of anything — it is a gate the tape never tested." echo " ⚠️ Sessions before 2026-09-05 predate r230-r234: this says what" echo " blocked a strategy THEN, not whether it fires now." read -rp " START (YYYY-MM-DD): " D1 read -rp " END (ENTER = same day): " D2 read -rp " One strategy only (ENTER = all): " ST read -rp " One symbol only (ENTER = all): " SY [ -z "$D2" ] && D2="$D1" ARGS="" [ -n "$D1" ] && ARGS="--from $D1 --to $D2" [ -n "$ST" ] && ARGS="$ARGS --strat $ST" [ -n "$SY" ] && ARGS="$ARGS --sym $SY" $PY tests/screen_plan_gates.py $ARGS
SENSORS (derived stores; read-only, one/all/some)	Stop forensics        (did the stop cut winners or limit losers?)	# 🔴 dtp-r274 — EVERY butterfly loss over 08-31..09-04 is a PREMIUM STOP: # stop_24/25/26%, n=13, -$2,393.50, matching the 13 losers to the dollar. # It has never lost to the market, only to its own stop, at a 16-26 minute # hold — while its winners run to hard_close at 289 minutes for +$2,751. # ⚠️ THAT IS NOT AUTOMATICALLY A DEFECT. A pin butterfly is worth little # mid-session by construction, so a -25% mark at minute 17 measures elapsed # time rather than the thesis — but a stopped fly might equally have # expired worthless. MFE decides which. echo echo " Stop forensics — for every stopped-out trade, the BEST mark it" echo " ever reached. MFE above entry means it was working when it was cut." echo " Survivors are printed alongside, because a stopped trade's MFE" echo " means nothing without knowing what a winner's looked like." echo " Reads the S3 warehouse; boxes stay off." read -rp " START (YYYY-MM-DD): " D1 read -rp " END (ENTER = same day): " D2 read -rp " Strategy (ENTER = GEXPinButterfly): " ST [ -z "$D2" ] && D2="$D1" ARGS="" [ -n "$D1" ] && ARGS="--from $D1 --to $D2" [ -n "$ST" ] && ARGS="$ARGS --strat $ST" $PY tests/screen_bfly_stop.py $ARGS
SENSORS (derived stores; read-only, one/all/some)	Exit counterfactual   (flow vs the stop)	echo " Source: derived_store.db -> exit_counterfactual" echo " RECORDS ONLY - the mechanical stop is untouched. bos_exit measured" echo " 34% / - $7,085 against the trail's 96% / + $30,696, so this idea" echo " gets MEASURED before it is trusted." SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 -header -column data/derived_store.db "SELECT trade_id, strategy, reason, COUNT(*) AS evals, MAX(threat) AS peak_threat, MAX(would_fire) AS would_have FROM exit_counterfactual GROUP BY trade_id, strategy, reason ORDER BY peak_threat DESC LIMIT 25; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	Fire snapshot         (derived vector at entry)	echo " Source: derived_store.db -> fire_snapshot (joins trades on trade_id)" echo " Everything derived at the INSTANT a trade fired. Pre-r61 trades" echo " have no row - that is honest, they genuinely had none." SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 data/derived_store.db "SELECT trade_id, datetime(fired_ts,'unixepoch') AS fired_utc, substr(payload,1,160) FROM fire_snapshot ORDER BY fired_ts DESC LIMIT 10; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	Surface               (charm / vanna / GEX)	echo " Source: derived_store.db -> surface_series" echo " CHARM = dDelta/dt, VANNA = dDelta/dVol. Neither was computable" echo " before the greeks series existed - chain_marks overwrote one row" echo " per symbol, so there was no series to difference." SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 -header -column data/derived_store.db "SELECT strike, ROUND(AVG(charm),4) AS charm, ROUND(AVG(vanna),4) AS vanna, ROUND(MAX(gex)/1e6,2) AS gex_m, COUNT(*) AS n FROM surface_series WHERE ts_epoch > strftime('%s','now','-1 day') GROUP BY strike ORDER BY n DESC LIMIT 20; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	Indicators            (ADX / ATR / VWAP series)	echo " Source: derived_store.db -> indicator_series" echo " ⚠️ THE ADX WOBBLE QUESTION. Friday's logs showed ADX swinging" echo " 16 -> 48 on the same symbols. Some real, some possibly window" echo " artifact - and adx_at_entry is a column on every trade while" echo " CONT_BREAKOUT_MIN_ADX is a live gate. This is how you tell." SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 -header -column data/derived_store.db "SELECT interval, COUNT(*) AS n, ROUND(MIN(adx),1) AS adx_lo, ROUND(MAX(adx),1) AS adx_hi, ROUND(AVG(adx),1) AS adx_avg, ROUND(AVG(vwap),2) AS vwap FROM indicator_series WHERE ts_epoch > strftime('%s','now','-1 day') GROUP BY interval; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	Forks                 (built vs reject reason)	echo " Source: derived_store.db -> fork_series" echo " Six named reject reasons exist and none of them used to reach a" echo " log - 'rails=absent' was ONE message covering six problems, which" echo " is why the r59 diagnosis took two wrong turns." SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 -header -column data/derived_store.db "SELECT interval, CASE built WHEN 1 THEN 'BUILT' ELSE COALESCE(reject_reason,'?') END AS outcome, COUNT(*) AS n, ROUND(AVG(containment),3) AS contain FROM fork_series WHERE ts_epoch > strftime('%s','now','-1 day') GROUP BY interval, outcome ORDER BY n DESC; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	Levels                (touches + retirements)	echo " Source: derived_store.db -> level_ledger" echo " A touch is a HOLD; a close through RETIRES the level. Bodies" echo " decide, wicks test." SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 -header -column data/derived_store.db "SELECT provenance, kind, COUNT(*) AS levels, SUM(touch_count) AS touches, SUM(CASE WHEN retired_ts IS NULL THEN 0 ELSE 1 END) AS retired FROM level_ledger GROUP BY provenance, kind ORDER BY touches DESC; " 2>&1; echo ok" $SC
SENSORS (derived stores; read-only, one/all/some)	Order flow            (aggression + depth)	echo " Source: feed_store.db -> prints / quote_series" echo " aggressor_side is buy vs sell INITIATED. bid_size/ask_size is depth" echo " at the touch - the signal FRC.1 needed and never had." SC=$(ask_scope) $PY fleet.py run "cd $INSTALL_DIR; sqlite3 -header -column data/feed_store.db "SELECT COALESCE(aggressor_side,'(untagged)') AS side, COUNT(*) AS prints, ROUND(SUM(size)) AS volume FROM prints WHERE ts_epoch > strftime('%s','now','-1 day') GROUP BY side; " 2>&1; sqlite3 -header -column data/feed_store.db "SELECT COUNT(*) AS quote_rows, ROUND(AVG(bid_size)) AS avg_bid_sz, ROUND(AVG(ask_size)) AS avg_ask_sz FROM quote_series WHERE ts_epoch > strftime('%s','now','-1 day'); " 2>&1; echo ok" $SC
DEBUG / LOGS (remote; one/all/some)	Service status (bot + candle-feed)	SC=$(ask_scope); $PY fleet.py run 'echo "optionsbot=$(systemctl is-active optionsbot) candle-feed=$(systemctl is-active candle-feed)"' $SC
DEBUG / LOGS (remote; one/all/some)	Journal tail (last N)	SC=$(ask_scope); read -rp "How many journal lines [20]: " N; N="${N:-20}"; $PY fleet.py run "journalctl -u optionsbot -n ${N} --no-pager" $SC
DEBUG / LOGS (remote; one/all/some)	Feed health (store freshness)	SC=$(ask_scope); $PY fleet.py run "echo "candle-feed= $(systemctl is-active candle-feed) store_write_age_s= $(( $(date +%s) - $(stat -c %Y ${FEED_DB}-wal 2>/dev/null || stat -c %Y ${FEED_DB} 2>/dev/null || echo 0) )) "" $SC
DEBUG / LOGS (remote; one/all/some)	Bot log tail (last 20)	SC=$(ask_scope); $PY fleet.py run "tail -20 ${INSTALL_DIR}/bot.log" $SC
MAINTENANCE (wake_and_bake)	Retire — off-hours stop (one/all/some)	# r202 (2026-08-25) — REPLACES "Dry-run", which the operator never used. # ⚠️ THE OPERATOR WAS FORCED THROUGH OPTION 34 (FULL wake->bake->restart-> # STOP) TO DO NOTHING BUT STOP THE FLEET — a whole cycle, including a # resync and a restart of every box, when all he wanted was the shutdown at # the end of it. `--shutdown-only` ALREADY EXISTED in wake_and_bake.py and # had no menu item, so the capability was there and unreachable. # # ⚠️ THIS IS NOT THE EOD PATH. --shutdown-only clears pycache and stops the # boxes cleanly with NO EOD and NO P&L harvest. Use it after maintenance or # a check, not at the close — the conductor owns the close because # chain_snapshots cannot be reconstructed after 16:00. echo echo " RETIRE — OFF-HOURS clean stop. No EOD, no P&L harvest, no resync." echo " For after maintenance or a check, outside the session." echo " During RTH use option 38 (EMERGENCY STOP) — same mechanism," echo " different intent, and it warns about open positions." echo " The CONDUCTOR owns the close: chain_snapshots cannot be" echo " reconstructed after 16:00, so never use this at 15:59." SC=$(ask_scope) $PY wake_and_bake.py --shutdown-only $SC
MAINTENANCE (wake_and_bake)	FULL (wake->bake->restart->STOP)	$PY wake_and_bake.py
MAINTENANCE (wake_and_bake)	Wake	SC=$(ask_scope); $PY wake_and_bake.py --wake-only $SC
MAINTENANCE (wake_and_bake)	Bake only (sync, no restart - RTH-safe)	$PY wake_and_bake.py --bake-only
MAINTENANCE (wake_and_bake)	Leave on (skip shutdown)	$PY wake_and_bake.py --leave-running
MAINTENANCE (wake_and_bake)	EMERGENCY STOP — mid-session, abandons positions (one/all/some)	# r202 — SCOPE ADDED. This ran unscoped, so the only way to kill ONE # misbehaving box mid-session was to stop all fifteen. # # ⚠️ 33 AND 38 CALL THE SAME MECHANISM (--shutdown-only) AND THAT IS FINE — # the difference is INTENT AND TIMING, not plumbing. 33 is the off-hours # tidy-up; 38 is mid-session and abandons live positions. The banner below # is the difference that matters, because the mechanism will not warn you. # # ⚠️ VERIFIED IN SOURCE, NOT ASSUMED: the RTH guard at wake_and_bake.py:424 # applies to `mode == "full"` ONLY, so --shutdown-only genuinely IS # RTH-exempt and needs no --force mid-session. (The module docstring at # line 82 claims the guard blocks shutdown-only — that line is WRONG and # would have someone believe an emergency stop is unavailable during a # session.) echo echo " 🔴 EMERGENCY STOP — RUNS DURING RTH, NO --force NEEDED." echo " Stops by INSTANCE ID, not SSH: a box that cannot answer still dies." echo " ⚠️ NO EOD. NO P&L HARVEST. ANY OPEN POSITION IS ABANDONED AT THE" echo " BROKER — it does not get flattened, it is simply no longer" echo " watched. You own it manually from that moment." echo " For an orderly off-hours stop use option 33 (Retire) instead." SC=$(ask_scope) $PY wake_and_bake.py --shutdown-only $SC
REPOINT (migrate fleet -> new repo)	Check only	U=$(ask_url) || { pause; return 0; }; $PY fleet.py repoint "$U" --check-only
REPOINT (migrate fleet -> new repo)	FULL	U=$(ask_url) || { pause; return 0; }; $PY fleet.py repoint "$U"
REPOINT (migrate fleet -> new repo)	Full + wake	U=$(ask_url) || { pause; return 0; }; $PY fleet.py repoint "$U" --wake
REPOINT (migrate fleet -> new repo)	No restart	U=$(ask_url) || { pause; return 0; }; $PY fleet.py repoint "$U" --no-restart
REPOINT (migrate fleet -> new repo)	Scoped	U=$(ask_url) || { pause; return 0; }; read -rp "Symbols (comma-sep, e.g. SPX,QQQ): " SY; $PY fleet.py repoint "$U" --only "$SY"
REPOINT (migrate fleet -> new repo)	Mock preview	U=$(ask_url) || { pause; return 0; }; $PY fleet.py repoint "$U" --mock --yes
SNAPSHOT & TESTS	Snapshot dir -> repo-ready tarball	snapshot_dir
SNAPSHOT & TESTS	Test selection (mock)	$PY selector.py --test
SNAPSHOT & TESTS	Test Telegram (real)	$PY notify.py --test
CONTROL REPO (this checkout <-> GitHub, force sync)	PUSH -> GitHub  (FORCE; this server is source of truth)	repo_push_force
CONTROL REPO (this checkout <-> GitHub, force sync)	PULL <- GitHub  (FORCE; GitHub is source of truth)	repo_pull_force
CONTROL REPO (this checkout <-> GitHub, force sync)	LAND a tarball from /home/ubuntu (verify -> commit -> push -> clean)	# r278 — THE UNIVERSAL DEPLOY. Nine of its ten stages live in # tools/land.sh (r235) and the tenth — executing the declared checks — # was added there, not here. This item is a call, deliberately. # ⚠️ IT PROMPTS WHEN MORE THAN ONE ARCHIVE IS PRESENT rather than taking # the newest, because picking silently is how the wrong one gets landed # and the other gets deleted. echo; bash tools/deploy.sh
CONTROL REPO (this checkout <-> GitHub, force sync)	LAND a tarball — DRY RUN (show the halves, touch nothing)	# ⚠️ A SEPARATE ITEM RATHER THAN A PROMPT ON THE ONE ABOVE. MEN.1 merged # two items that were one flag apart, and this looks like that case and is # not: the destructive item must not have a path where a mis-keyed answer # commits and pushes. The prompt there is WHICH ARCHIVE, never whether to # land. echo; bash tools/deploy.sh --dry
TRADES DATA & R SUITE	Re-run consolidation -> fleet_trades_<date>.json (+ .csv)	read -rp "Day to consolidate (YYYY-MM-DD, ENTER=today): " D; D="${D:-$(date +%F)}"; $PY consolidate_trades.py --date "$D"
TRADES DATA & R SUITE	Trade breakdown (cross-day, warehouse, day one onward)	echo echo " Cross-day breakdown from the S3-sourced bundles in reports/warehouse." echo " Default window is DAY ONE (2026-08-25) — anything earlier is the OLD" echo " engines and pooling it mixes two systems in one table." echo " ENTER = day one onward (the honest default)" echo " a date = from that date (flagged if it predates day one)" echo " all = every session ever, v3 records included" read -rp " Since [ENTER / YYYY-MM-DD / all]: " SD case "$SD" in "") $PY trade_report.py ;; all|ALL) $PY trade_report.py --all-history ;; *) $PY trade_report.py --since "$SD" ;; esac
TRADES DATA & R SUITE	TRADES TAKEN  (one line per trade, phone width)	# r202 — the trades themselves. Every other report in this suite # aggregates; this is the only one that lists a row per trade. # ⚠️ 43 characters wide, for Termius on a phone. Exit reason is # deliberately absent — BY EXIT REASON in option 53 covers it. local SD read -rp " Since [ENTER = day one / YYYY-MM-DD / all]: " SD case "$SD" in "") $PY trade_report.py --rows-only --no-json ;; all|ALL) $PY trade_report.py --rows-only --no-json --all-history ;; *) $PY trade_report.py --rows-only --no-json --since "$SD" ;; esac
TRADES DATA & R SUITE	FIT READINESS — per setup: taken vs skipped, is it fittable yet	# r209 — REPLACES the old FIT REPORT, which is obsolete. # ⚠️ THAT REPORT SOURCED EVERYTHING FROM `trades` — the population that # FIRED. The question "is this setup ready to fit?" is mostly answered by # the population that did NOT, and strategy_note / gate_disposition / # plan_ledger did not exist when it was written. One of its four sections # had also never produced a number: it shelled into an otv3 checkout that # is not present, printing "SKIPPED, rc 127" in every report ever made. # 🔑 THE TEST IS COVERAGE, NOT VOLUME. A setup with 245 evaluations is NOT # fittable if 96% of its declines land on one rung — every observation sits # on one side of the boundary, so the data says where the line IS and # nothing about where it should be. echo echo " Fit readiness — per setup type, TAKEN vs SKIPPED, with the" echo " derived vector on both sides. Reads the S3 warehouse; boxes stay off." echo " A SOURCE line prints per stream — an unreachable bucket and a" echo " session with no evaluations never render the same." read -rp " Date (YYYY-MM-DD, ENTER=today), or START of a range: " D1 read -rp " END of range (ENTER = single day): " D2 read -rp " One setup only (ENTER = all): " SU ARGS="" if [ -n "$D1" ] && [ -n "$D2" ]; then ARGS="--from $D1 --to $D2" elif [ -n "$D1" ]; then ARGS="--date $D1"; fi [ -n "$SU" ] && ARGS="$ARGS --setup $SU" # NO --db PROMPT. On control the answer is always the warehouse; the old # prompt offered a box path that is not on this machine and the item could # not produce a number. --db stays on the command line for use ON A BOX. $PY fit_readiness.py $ARGS
TRADES DATA & R SUITE	Stop / TP sweep       (R surface over excursions)	echo " Bounds, not points: a cell matters only when its PESSIMISTIC" echo " net beats the recorded book. Reads the S3 warehouse from control." _r_tool stop_sweep.py
TRADES DATA & R SUITE	Exit replay           (trail fit on real premium paths)	echo " Rebuilds each trade's premium path from the quote_series" echo " batches and replays trail/stop/TP ladders. Expensive by design —" echo " run it when a specific exit question is being asked." _r_tool exit_replay.py
TRADES DATA & R SUITE	R LEDGER              (R, expectancy, capture + selection vs extension)	echo " R, expectancy, capture and giveback — per strategy, per side," echo " per exit reason — plus the SELECTION vs EXTENSION split: what never" echo " went favourable at all, versus what went favourable and gave it back." echo " Those have opposite fixes and one net number hides both." echo " Rows with no excursion telemetry are counted SEPARATELY — unmeasured" echo " is not the same fact as never-favourable." _r_tool r_ledger.py
EOD CONDUCTOR, BACKFILL & LIVE P&L	Live P&L standings (reads the BOXES; must be up)	# r236 — NO TELEGRAM PROMPT. Operator, 2026-09-01: "get rid of the telegram # prompt. I'm already in the terminal & that's where I want to see it." # `--send` survives on the CLI for any non-interactive caller; the menu # never asks, because a prompt whose answer is always the same is a # keystroke tax, not a choice. echo; $PY standings.py
EOD CONDUCTOR, BACKFILL & LIVE P&L	P&L from WAREHOUSE (day or range; boxes off)	# r207 — reads S3, never the boxes. # ⚠️ ITEM 54 (standings.py) SSHes INTO EVERY BOX, so seeing YESTERDAY's P&L # meant WAKING FIFTEEN MACHINES to answer a question about data already # sitting in the bucket. Its SQL is also hardcoded to today, so a past # session was unaskable at any price. 54 stays for the LIVE intraday read; # this is for everything else. echo echo " P&L from the S3 warehouse. Boxes stay off." read -rp " Date (YYYY-MM-DD, ENTER=today), or START of a range: " D1 read -rp " END of range (ENTER = single day): " D2 read -rp " Push to Telegram too? [y/N]: " S ARGS="" if [ -n "$D1" ] && [ -n "$D2" ]; then ARGS="--from $D1 --to $D2" elif [ -n "$D1" ]; then ARGS="--date $D1"; fi [ "$S" = "y" ] && ARGS="$ARGS --send" $PY pnl_s3.py $ARGS
EOD CONDUCTOR, BACKFILL & LIVE P&L	EOD analysis — all reports from S3 (boxes off)	# r208 — the REPORTS half of the EOD split. eod_conductor_v2 owns the # CLOSE; this owns the reports and the two never overlap. # ⚠️ SAFE TO RE-RUN AND SAFE TO RUN LATE. Nothing here touches a box, so a # failed night can simply be run again tomorrow against the same bucket. echo echo " EOD analysis — P&L, bundle, daily bars, label, excursion, coverage." echo " Reads S3 and control-side state only. No boxes are woken." read -rp " Date (YYYY-MM-DD, ENTER=today): " D read -rp " Dry-run first? [Y/n]: " DR ARGS=""; [ -n "$D" ] && ARGS="--date $D" if [ "$DR" != "n" ]; then $PY eod_analysis.py $ARGS --dry-run echo read -rp " Proceed for real? [y/N]: " GO [ "$GO" = "y" ] || { pause; return 0; } fi $PY eod_analysis.py $ARGS
EOD CONDUCTOR, BACKFILL & LIVE P&L	Backfill missing OHLC (auto-batched)	echo read -rp "Backfill date (YYYY-MM-DD, ENTER=today): " D; D="${D:-$(date +%F)}" echo echo " Which boxes?" echo " ENTER = ALL symbols missing candles for that date" echo " a list = only these, e.g. CVX,UNH or CVX, UNH or cvx unh" read -rp "Symbols: " SY # normalise: strip spaces, split on commas or whitespace, upper-case SY="$(echo "$SY" | tr 'a-z' 'A-Z' | tr -s ', t' ',' | sed 's/^,//; s/,$//')" if [ -n "$SY" ]; then ONLY="--only $SY" # one batch, sized to what was asked for — never pad to five DEF_B="$(echo "$SY" | tr ',' ' n' | grep -c .)" echo " -> $DEF_B symbol(s): $SY" else ONLY="" DEF_B=5 echo " -> ALL missing symbols" fi read -rp "Batch size (ENTER=$DEF_B): " B; B="${B:-$DEF_B}" echo $PY eod_backfill.py --date "$D" $ONLY --batch "$B" --dry-run echo # ⚠️ THE LIVE RUN WAKES AND STOPS BOXES — that is why the dry run always # prints first and the confirm is explicit. read -rp "Proceed with LIVE backfill (wakes/stops boxes)? [y/N]: " GO [ "$GO" = "y" ] && $PY eod_backfill.py --date "$D" $ONLY --batch "$B"
